BARCODE	CELLS_PER_WELL	PROJECT_CODE	FLASK_BARCODE	CELL_LINE	MEDIA	DATE_CREATED	Compound Plate Map Name	PosCon Plate Map Name	Amplification name	Amplified (Y/N)	Detection name	Detected (Y/N)	12 pool amplification name	12 pool detection name
SCW0111451	1250	7159	ztf00032469	P901	RPMI001	2016-01-21 09:59:14 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_901_X1		PDOG001_P1_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0111471	1250	7159	ztf00032468	P902	RPMI001	2016-01-21 11:15:19 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_902_X1		PDOG001_P1_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0111491	1250	7159	ztf00032467	P903	RPMI001	2016-01-21 12:05:11 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_903_X1		PDOG001_P1_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0112013	1250	7159	ztf00032466	P904	RPMI001	2016-01-27 09:31:50 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_904_X1		PDOG001_P1_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0112038	1250	7159	ztf00032465	P905	RPMI001	2016-01-27 10:25:14 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_905_X1		PDOG001_P2_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0111718	1250	7159	ztf00032464	P906	RPMI001	2016-01-27 11:18:46 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_906_X1		PDOG001_P2_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0111508	1250	7159	ztf00032463	P907	RPMI001	2016-01-28 09:10:06 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_907_X1		PDOG001_P2_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0111528	1250	7159	ztf00032462	P908	RPMI001	2016-01-28 10:02:25 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_908_X1		PDOG001_P2_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0112498	1250	7159	ztf00032461	P909	RPMI001	2016-01-28 10:50:11 EST	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_909_X1		PDOG001_P3_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0112408	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_910_X1		PDOG001_P3_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0112428	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_911_X1		PDOG001_P3_X1		PDOG001_P7_X1	PDOG001_P7_X1	
SCW0112448	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-001-01	C-7159-01-IPB-003	PDOG001_912_X1		PDOG001_P3_X1		PDOG001_P7_X1	PDOG001_P7_X1
SCW0111452	1250	7159	ztf00032469	P901	RPMI001	2016-01-21 09:59:14 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0111470	1250	7159	ztf00032469	P901	RPMI001	2016-01-21 09:59:14 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0111472	1250	7159	ztf00032468	P902	RPMI001	2016-01-21 11:15:19 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0111473	1250	7159	ztf00032468	P902	RPMI001	2016-01-21 11:15:19 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0111492	1250	7159	ztf00032467	P903	RPMI001	2016-01-21 12:05:11 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0111493	1250	7159	ztf00032467	P903	RPMI001	2016-01-21 12:05:11 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112014	1250	7159	ztf00032466	P904	RPMI001	2016-01-27 09:31:50 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112015	1250	7159	ztf00032466	P904	RPMI001	2016-01-27 09:31:50 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112039	1250	7159	ztf00032465	P905	RPMI001	2016-01-27 10:25:14 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112040	1250	7159	ztf00032465	P905	RPMI001	2016-01-27 10:25:14 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0111719	1250	7159	ztf00032464	P906	RPMI001	2016-01-27 11:18:46 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0111720	1250	7159	ztf00032464	P906	RPMI001	2016-01-27 11:18:46 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0111509	1250	7159	ztf00032463	P907	RPMI001	2016-01-28 09:10:06 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0111510	1250	7159	ztf00032463	P907	RPMI001	2016-01-28 09:10:06 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0111529	1250	7159	ztf00032462	P908	RPMI001	2016-01-28 10:02:25 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0111530	1250	7159	ztf00032462	P908	RPMI001	2016-01-28 10:02:25 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112499	1250	7159	ztf00032461	P909	RPMI001	2016-01-28 10:50:11 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112500	1250	7159	ztf00032461	P909	RPMI001	2016-01-28 10:50:11 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112409	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112410	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112429	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112430	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112449	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112450	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112712	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112713	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
